t,equity,drawdown
0,1.006585748340571,-9.935385847370526e-13
1,1.0060374962378702,-0.000544665076576023
2,1.006204253262549,-0.0003789990864171422
3,1.0044097809008323,-0.0021617308255394985
4,1.0106317714554287,-9.89541781848402e-13
5,1.0117706363295473,-9.884315588237769e-13
6,1.0115516754149785,-0.00021641358990520665
7,1.0118016570470558,-9.884315588237769e-13
8,1.0111333048737858,-0.000660556512844579
9,1.0146701394008326,-9.85656001262214e-13
10,1.015059065552655,-9.85211912052364e-13
11,1.0159696514772065,-9.843237336326638e-13
12,1.016931903609106,-9.834355552129637e-13
13,1.0156792146547526,-0.0012318316997493861
14,1.0125964900454887,-0.004263228982419265
15,1.0191397216713105,-9.813261314661759e-13
16,1.018193641032043,-0.0009283129880516272
17,1.0148616910419184,-0.0041976880494584146
18,1.0154377594559363,-0.003632438357225154
19,1.017458670960293,-0.0016494801215863886
20,1.0186865496987871,-0.00044466128037856656
21,1.0186617226612409,-0.000469022059394697
22,1.0184232543760499,-0.0007030118452110434
23,1.0180708459208514,-0.001048801973595248
24,1.0186970878700372,-0.00043432101885609864
25,1.0191127423934132,-2.6472600688220993e-05
26,1.0163143820855645,-0.0027722789394470926
27,1.0162607002537678,-0.002824952611815146
28,1.0154584282999748,-0.003612157679709682
29,1.017006389173632,-0.0020932679330543102
30,1.0169472203887504,-0.002151325512033342
31,1.0185738157763073,-0.0005552780290759562
32,1.0167760049053611,-0.0023193255219911
33,1.017710375198724,-0.0014025029573385694
34,1.0203033319042993,-9.802159084415507e-13
35,1.0196912996889114,-0.0005998531978183008
36,1.015571241586503,-0.0046379249884049845
37,1.0114014575565728,-0.008724733194885648
38,1.0199409868912415,-0.0003551345984348364
39,1.0202649469956262,-3.7621076470983894e-05
40,1.0207200544276476,-9.797718192317006e-13
41,1.0215260476524177,-9.78994663114463e-13
42,1.023541886293539,-9.771072839726003e-13
43,1.0205765893397123,-0.002897093899656533
44,1.030796207979678,-9.702239012199243e-13
45,1.028549654461283,-0.0021794351803019474
46,1.0265794246578321,-0.004090802129653293
47,1.027749871069878,-0.002955324134115478
48,1.0282379448332746,-0.0024818321289861167
49,1.030389995364285,-0.0003940765529093504
50,1.0289397852803,-0.0018009599627988315
51,1.0266551133624093,-0.004017374711128507
52,1.02400436320513,-0.006588930695479722
53,1.0225392828988265,-0.00801024006289941
54,1.0290196030103314,-0.0017235268781470303
55,1.0282758719238896,-0.002445038153298773
56,1.0264612448271337,-0.004205451203624921
57,1.0305406889605344,-0.0002478850990771386
58,1.0328504700071368,-9.68225499775599e-13
59,1.03335460181509,-9.67781410565749e-13
60,1.0319299784551341,-0.001378639392956016
61,1.0303717007986724,-0.0028866189903983264
62,1.029996686110512,-0.0032495289609942857
63,1.0301676001098348,-0.003084131720761052
64,1.029792069711458,-0.003447540755488143
